# Kazakh source | Russian | English. {0}, {1} preserve dynamic data.
Тіл|Язык|Language
Дипломатия|Дипломатия|Diplomacy
Провинциялар|Провинции|Provinces
Әдепкі|По умолчанию|Default
Ағаштар|Деревья|Trees
Фильтрлер|Фильтры|Filters
СҮЗГІЛЕР|ФИЛЬТРЫ|FILTERS
Тарихи|Исторические|Historical
Бір ойыншы|Один игрок|Single player
Бір құрылғыда бірнеше адам|Несколько игроков на устройстве|Shared device
Менің редактор картам\nЖергілікті жоба|Моя карта\nЛокальный проект|My editor map\nLocal project
Ақпарат|Об игре|About
Автосақтау|Автосохранение|Autosave
Ход соңы үшін ұстап тұру|Удерживать для конца хода|Hold to end turn
Сезімталдық|Чувствительность|Sensitivity
Солақай режим|Режим для левшей|Left-handed mode
Анықтама|Помощь|Help
Сақтаулар|Сохранения|Saved games
Соңғы ойын|Последняя игра|Last game
бос|пусто|empty
Автосақтау әр толық ход аяқталғаннан кейін жаңарады.|Автосохранение обновляется после каждого полного хода.|Autosave updates after every complete turn.
Алмасу буферінде дерек жоқ.|Буфер обмена пуст.|Clipboard is empty.
Дерек форматы дұрыс емес.|Неверный формат данных.|Invalid data format.
Қосымша|Дополнительно|More
Кездейсоқ түс|Случайный цвет|Random color
{0}-ойыншы түсі|Цвет игрока {0}|Player {0} color
{0}-ойыншы|Игрок {0}|Player {0}
кіші|малая|small
орта|средняя|medium
орташа|средняя|medium
үлкен|большая|large
алып|огромная|huge
өте үлкен|огромная|huge
орасан|гигантская|giant
боттар шайқасы|битва ботов|AI battle
бір ойыншы|один игрок|single player
мультиплеер {0}x|игроков: {0}|{0} players
жаңа ойыншы|новичок|beginner
өте жеңіл|очень легко|very easy
жеңіл|легко|easy
қалыпты|обычно|normal
күрделі|сложно|hard
қиын|сложно|hard
сарапшы|эксперт|expert
шебер|мастер|master
Ойын жүктелуде|Загрузка игры|Loading game
Карта жасалуда|Создание карты|Creating map
Редактор картасы жасалуда|Создание карты редактора|Creating editor map
Редактор картасы ойнатуға жарамсыз.|Карта редактора не готова к игре.|Editor map is not playable.
Модтар|Моды|Mods
Карталар|Карты|Maps
Импорт|Импорт|Import
Қайта оқу|Обновить|Refresh
Мод үлгісі|Шаблон мода|Mod template
Қалта жолы көшірілді|Путь к папке скопирован|Folder path copied
Қалтаны таңдау|Выбрать папку|Choose folder
Модтар өшірулі|Моды выключены|Mods disabled
Қосулы модтар: {0}|Включено модов: {0}|Enabled mods: {0}
Кәдімгі DALA|Обычная DALA|Classic DALA
Реті жоғарыдан төмен. Бірдей баптауды төмендегі мод өзгертеді.|Порядок сверху вниз. При совпадении настроек побеждает нижний мод.|Order runs top to bottom. The later mod wins when settings overlap.
Қайталанған баптаулар: {0}. Соңғы мод басым.|Совпавших настроек: {0}. Последний мод имеет приоритет.|Overlapping settings: {0}. The last mod takes priority.
Өз далаңды жаса|Создай свою степь|Shape your steppe
.dalamod не .zip импорттаңыз немесе мод үлгісін алыңыз.|Импортируйте .dalamod или .zip либо скачайте шаблон.|Import .dalamod or .zip, or get a mod template.
Жоғары|Вверх|Move up
Төмен|Вниз|Move down
Экспорт|Экспорт|Export
Өшіру|Удалить|Delete
Жаңа жорық|Новый поход|A new journey
Редакторда карта сақтаңыз немесе .dalamap файлын импорттаңыз.|Сохраните карту в редакторе или импортируйте .dalamap.|Save a map in the editor or import a .dalamap file.
Картаға қажет модтарды орнатыңыз.|Установите моды, нужные для карты.|Install the mods required by this map.
Ойнау|Играть|Play
Пакет кітапханаға қосылды|Пакет добавлен в библиотеку|Package added to library
Бөлме модтары|Моды комнаты|Room mods
Барлық ойыншыда осы модтар орнатылуы керек.|У всех игроков должны быть установлены эти моды.|Every player must have these mods installed.
Барлық ойыншыда бірдей модтар болуы керек.|У всех игроков должны быть одинаковые моды.|All players must have matching mods.
Бас тарту|Отмена|Cancel
Қолдану|Применить|Apply
Атыңыз|Ваше имя|Your name
Кәдімгі|Обычная|Classic
Модпен|С модами|Modded
Модтарды таңдау|Выбрать моды|Choose mods
Алдымен «Модтар мен карталар» бөлімінде мод орнатыңыз.|Сначала установите мод в разделе «Моды и карты».|First install a mod in Mods & maps.
Карта|Карта|Map
Кездейсоқ карта|Случайная карта|Random map
Бөлме ашу|Создать комнату|Host room
немесе бөлмеге кіріңіз|или войдите в комнату|or join a room
Хост IP · мысалы 192.168.1.20:7358|IP хоста · например 192.168.1.20:7358|Host IP · e.g. 192.168.1.20:7358
6 сандық бөлме коды|6-значный код комнаты|6-digit room code
Қосылуда…|Подключение…|Connecting…
Бөлмеге кіру|Войти в комнату|Join room
Ойыншы|Игрок|Player
LAN бөлмесі ашылуда|Создание LAN-комнаты|Opening LAN room
LAN картасы жасалуда|Создание LAN-карты|Creating LAN map
Браузер бөлме аша алмайды. Хостты Windows немесе Android қолданбасынан ашыңыз.|Браузер не может создать комнату. Создайте её в приложении Windows или Android.|Browsers cannot host rooms. Use the Windows or Android app to host.
6 саннан тұратын бөлме кодын жазыңыз.|Введите 6-значный код комнаты.|Enter the 6-digit room code.
LAN · Хост|LAN · Хост|LAN · Host
LAN · Ойыншы|LAN · Игрок|LAN · Player
Бөлме коды|Код комнаты|Room code
Карта: {0}|Карта: {0}|Map: {0}
IP көшірілді: {0}|IP скопирован: {0}|IP copied: {0}
Ход таймері|Таймер хода|Turn timer
Бұл карта үшін минимум: {0} мин|Минимум для этой карты: {0} мин|Minimum for this map: {0} min
Әр ойыншыға берілетін уақыт|Время на игрока|Time per player
{0} минут|{0} минут|{0} minutes
Карта жасалуда…|Создание карты…|Creating map…
Ойынды бастау|Начать игру|Start game
Барлық орынның толуын күтіңіз|Ожидание всех игроков|Waiting for all players
Қайта қосылуда…|Повторное подключение…|Reconnecting…
Хост жауабы күтілуде…|Ожидание ответа хоста…|Waiting for host…
Бөлме {0}|Комната {0}|Room {0}
Ход уақыты: {0} минут|Время хода: {0} минут|Turn time: {0} minutes
Ход таймері өшірулі|Таймер хода выключен|Turn timer disabled
Картаны және ойынды хост бастайды|Карту и игру запускает хост|The host starts the map and game
Бос орын|Свободное место|Empty seat
Алдыңғы түс|Предыдущий цвет|Previous color
Келесі түс|Следующий цвет|Next color
Бөлмеден шығару|Исключить из комнаты|Remove from room
Сенің ходың|Ваш ход|Your turn
{0}, жүрісті бастаңыз|{0}, начните ход|{0}, begin your turn
Жарайды|ОК|OK
LAN байланысы қайта орнатылуда…|Восстановление LAN-соединения…|Restoring LAN connection…
{0} жүріп жатыр|Ходит {0}|{0} is playing
Ойын мәзірі|Меню игры|Game menu
Ойын сақталды|Игра сохранена|Game saved
Ходты аяқтау|Закончить ход|End turn
Осы ходты шынымен аяқтайсыз ба?|Закончить этот ход?|End this turn?
Иә|Да|Yes
Жоқ|Нет|No
Алдымен өз провинцияңызды таңдаңыз|Сначала выберите свою провинцию|Select your province first
Жер|Земля|Land
Ферма|Ферма|Farm
Кеме-қала|Корабль-город|Supply ship
Құрлық әскері|Сухопутные войска|Land troops
Кемедегі әскер|Десант на корабле|Embarked troops
Құрлық қамалы|Наземная крепость|Land fort
Артиллерия|Артиллерия|Artillery
Порттар|Порты|Ports
Кемелер|Корабли|Ships
Теңіз қамалдары|Морские крепости|Sea forts
Десантты қолдау|Снабжение десанта|Landing support
Доход есебі|Расчёт дохода|Income breakdown
Барлығы|Всего|Total
Доход|Доход|Income
Соғыс|Война|War
Бейтарап|Нейтралитет|Neutral
Достық|Дружба|Friendship
Достық · {0} ход|Дружба · {0} ходов|Friendship · {0} turns
Әскери одақ|Военный союз|Military alliance
Әскери одақ · {0} ход|Военный союз · {0} ходов|Military alliance · {0} turns
Соғыс · Бітімге {0} ход|Война · До перемирия {0} ходов|War · Truce in {0} turns
Бейтарап · Соғысқа тыйым: {0} ход|Нейтралитет · Запрет войны: {0} ходов|Neutral · War blocked for {0} turns
Бітім: {0} ход|Перемирие: {0} ходов|Truce: {0} turns
Достық ұсынысы|Предложение дружбы|Friendship offer
Бітім ұсынысы|Предложение перемирия|Truce offer
Қабылдау|Принять|Accept
Ұсыныс жіберілді — жауап келесі жүрісте келеді|Предложение отправлено — ответ придёт в следующем ходу|Offer sent — the reply arrives next turn
Бітім ұсыну|Предложить перемирие|Offer truce
Әскери одақ ұсыну|Предложить военный союз|Offer military alliance
Достық ұсыну|Предложить дружбу|Offer friendship
Әскери одақты тоқтату|Расторгнуть военный союз|End military alliance
Достықты тоқтату|Прекратить дружбу|End friendship
Соғыс жариялау|Объявить войну|Declare war
Ход уақыты: {0} минут {1} секунд|Время хода: {0} мин {1} сек|Turn time: {0} min {1} sec
Карта жүктелуде…|Загрузка карты…|Loading map…
Жаңа бос карта|Новая пустая карта|New blank map
Карта редакторда ашылды|Карта открыта в редакторе|Map opened in editor
Автосақталды|Автосохранено|Autosaved
Өзгеріс сақталуда…|Сохранение изменений…|Saving changes…
Теңіз ұяшығы тазартылды|Морская клетка очищена|Sea cell cleared
Су жалбызы сақталуда…|Сохранение водорослей…|Saving seaweed…
Теңіз нысаны сақталуда…|Сохранение морского объекта…|Saving sea object…
Жоба сақталды|Проект сохранён|Project saved
Жобаны сақтау мүмкін болмады|Не удалось сохранить проект|Could not save project
Редактордан шығу?|Выйти из редактора?|Leave editor?
Редакторға қайту|Вернуться в редактор|Return to editor
Сақтау және шығу|Сохранить и выйти|Save and exit
Сақталған жоба жоқ|Нет сохранённого проекта|No saved project
Жоба жүктелді|Проект загружен|Project loaded
Карта атауы|Название карты|Map name
Сақтау|Сохранить|Save
Карта файлға экспортталды|Карта экспортирована в файл|Map exported to file
Карта кітапханаға сақталды|Карта сохранена в библиотеке|Map saved to library
Карта файлдан жүктелді|Карта загружена из файла|Map loaded from file
Карта коды алмасу буферіне көшірілді|Код карты скопирован в буфер обмена|Map code copied to clipboard
Алмасу буферіндегі карта жарамсыз|Неверная карта в буфере обмена|Invalid map in clipboard
Импортталған картада жарамсыз нысан бар|В импортированной карте есть недопустимый объект|Imported map contains an invalid object
Карта импортталды|Карта импортирована|Map imported
Бос карта жасалуда|Создание пустой карты|Creating blank map
Бос карта жасалды|Пустая карта создана|Blank map created
Жаңа карта жасалды|Новая карта создана|New map created
Картаны жылжыту режимі|Режим перемещения карты|Map pan mode
Сызу режимі: басыңыз немесе сырғытыңыз|Режим рисования: нажмите или проведите|Draw mode: tap or drag
Редактор дайындалуда|Подготовка редактора|Preparing editor
Сызу режиміне өту|Перейти к рисованию|Switch to drawing
Картаны жылжыту|Переместить карту|Pan map
Карта баптаулары|Настройки карты|Map settings
Карта әрекеттері|Действия с картой|Map actions
Жобаны сақтау|Сохранить проект|Save project
Жобаны жүктеу|Загрузить проект|Load project
Кітапханаға сақтау|Сохранить в библиотеку|Save to library
.dalamap экспорттау|Экспорт .dalamap|Export .dalamap
Карта файлын импорттау|Импорт файла карты|Import map file
Картаны экспорттау|Экспорт карты|Export map
Картаны импорттау|Импорт карты|Import map
Картаны қайта жасау|Создать карту заново|Regenerate map
Бос жер картасы|Пустая карта суши|Blank land map
Картаны ойнату|Играть на карте|Play map
Түс|Цвет|Color
Нысан|Объект|Object
Әскер|Войска|Troops
Теңіз|Море|Sea
Ұяшықты басыңыз: жер ↔ су|Нажмите клетку: суша ↔ вода|Tap a cell: land ↔ water
{0}-деңгейлі әскер|Войска уровня {0}|Level {0} troops
Карта өлшемі: {0}|Размер карты: {0}|Map size: {0}
Түстер: {0}|Цветов: {0}|Colors: {0}
Адамдар: {0}|Людей: {0}|Humans: {0}
Ағаштар: {0}%|Деревья: {0}%|Trees: {0}%
Қолдану және қайта жасау|Применить и создать заново|Apply and regenerate
Бос|Пусто|Empty
Қарағай|Сосна|Pine
Пальма|Пальма|Palm
Қала|Город|Town
Қамал|Крепость|Fort
Үлкен қамал|Большая крепость|Strong fort
Қабір|Могила|Grave
Порт 1|Порт 1|Port 1
Порт 2|Порт 2|Port 2
Арт. 1|Арт. 1|Art. 1
Арт. 2|Арт. 2|Art. 2
Арт. 3|Арт. 3|Art. 3
Кеме 1|Корабль 1|Ship 1
Кеме 2|Корабль 2|Ship 2
Су жалбызы|Водоросли|Seaweed
Теңіз қамалы|Морская крепость|Sea fort
Повтор|Повтор|Replay
Статистика|Статистика|Statistics
Ход жасалды: {0}|Ходов сделано: {0}|Turns played: {0}
Әскер жоғалды: {0}|Потеряно войск: {0}|Troops lost: {0}
Әскер салынды: {0}|Создано войск: {0}|Troops recruited: {0}
Жұмсалған ақша: ${0}|Потрачено: ${0}|Money spent: ${0}
Уақыт: {0}|Время: {0}|Time: {0}
Тоқтату|Остановить|Stop
Пауза|Пауза|Pause
Ойнату|Воспроизвести|Play
Жылдамдық|Скорость|Speed
Осы кадрды сақтау|Сохранить этот кадр|Save this frame
Повтор күйі сақталды|Состояние повтора сохранено|Replay state saved
Жабу|Закрыть|Close
Ход {0} / {1}|Ход {0} / {1}|Turn {0} / {1}
Хаттар|Письма|Messages
Жаңа хаттар жоқ|Новых писем нет|No new messages
Тазарту|Очистить|Clear
Соғыстан кейінгі жер бөлісу|Послевоенный раздел земель|Postwar land settlement
Қалғаны: {0} ход · Ұсыныс №{1}|Осталось: {0} ходов · Предложение №{1}|Remaining: {0} turns · Proposal #{1}
Алғашқы жер бөлу ұсынысы әлі жасалмады.|Первое предложение о разделе ещё не составлено.|No initial land settlement has been proposed yet.
Бөлінбегені бұрынғы иесіне қайтады|Нераспределённое вернётся прежнему владельцу|Unassigned land returns to its former owner
Өзгерту|Изменить|Edit
Қарсы ұсыныс|Встречное предложение|Counteroffer
Қабылданды|Принято|Accepted
Бөлінді: {0} / үлесі: {1}|Выделено: {0} / доля: {1}|Assigned: {0} / quota: {1}
Жер үлесін ұсыну|Предложить раздел земель|Propose land shares
Ойыншыны басып, картадан оған берілетін даулы жерлерді таңдаңыз.|Выберите игрока, затем спорные земли для него на карте.|Select a player, then choose their disputed land on the map.
Бұрынғы иесіне қайтарылады|Вернётся прежнему владельцу|Returns to former owner
Ұсыну|Предложить|Propose
Жер үлесі немесе таңдалған клеткалар жарамсыз|Неверная доля земли или выбранные клетки|Invalid land share or selected cells
Бұл ұсынысты қазір қабылдауға болмайды|Сейчас это предложение нельзя принять|This offer cannot be accepted now
Хат|Письмо|Message
Ұсыныс шарттары енді жарамсыз|Условия предложения больше недействительны|The offer terms are no longer valid
Келісім қабылданды|Соглашение принято|Agreement accepted
Бас тарту жіберілді|Отказ отправлен|Decline sent
Төлемдер: + сізге · − сізден|Платежи: + вам · − от вас|Payments: + to you · − from you
Қара белгіні алу|Снять чёрную метку|Remove blacklist
Қара белгі қою|Поставить чёрную метку|Blacklist
Қатынастары|Отношения|Relations
Қатынастар|Отношения|Relations
Хат жіберу|Написать письмо|Send message
Айырбас|Обмен|Trade
Араларыңызда қара белгі бар|Между вами чёрная метка|You have a blacklist between you
Қатынас: {0}|Отношения: {0}|Relations: {0}
Ортақ қатынас: {0}|Общие отношения: {0}|Mutual relations: {0}
{0} ойыншысына хат|Письмо игроку {0}|Message to {0}
Хат мәтіні|Текст письма|Message text
Жіберу|Отправить|Send
Хат жіберілді|Письмо отправлено|Message sent
Қара белгі|Чёрная метка|Blacklist
Белгі алынады. Қайта қоюға 10 ход күту керек.|Метка будет снята. Повторно поставить можно через 10 ходов.|The blacklist will be removed. Wait 10 turns before applying it again.
Белгіні алу|Снять метку|Remove mark
Дипломатиялық өзгеріс жіберілді|Дипломатическое изменение отправлено|Diplomatic change sent
Қазір одақ міндеттемелері белгіні қоюға жол бермейді|Союзные обязательства пока не позволяют поставить метку|Alliance obligations currently prevent blacklisting
Соғыс жариялау туралы хат жіберілді|Объявление войны отправлено|War declaration sent
+ Шарт қосу|+ Добавить условие|+ Add term
Бұл келісім қазіргі жағдайда мүмкін емес|Это соглашение сейчас невозможно|This agreement is not possible in the current situation
Қарыздар мен төлемдер|Долги и платежи|Debts & payments
Араларыңызда қарыз немесе төлем келісімі жоқ.|Между вами нет долгов или платёжных соглашений.|There are no debts or payment agreements between you.
Соңғы себептер|Последние причины|Recent reasons
Басқа елдермен қатынасы|Отношения с другими странами|Relations with other countries
Елшілік +12 · $10|Посольство +12 · $10|Embassy +12 · $10
Наразылық −15|Протест −15|Protest −15
Келесі әрекетке {0} ход|До следующего действия {0} ходов|Next action in {0} turns
Әр 3 ходта бір әрекет. Өзгеріс екі елге ортақ.|Одно действие раз в 3 хода. Изменение общее для обеих стран.|One action every 3 turns. The change affects both countries.
Бейтарап белгісі|Знак нейтралитета|Neutral badge
Достық белгісі|Знак дружбы|Friendship badge
Әскери одақ белгісі|Знак военного союза|Military alliance badge
Жау белгісі|Знак врага|Enemy badge
Мәзір|Меню|Menu
Қайта бастау|Начать заново|Restart
Басты мәзір|Главное меню|Main menu
Жеңімпаз: {0}|Победитель: {0}|Winner: {0}
Доход рейтингі|Рейтинг доходов|Income ranking
{0} доходы: {1}, {2}|Доход {0}: {1}, {2}|{0} income: {1}, {2}
1-деңгейлі қамал|Крепость уровня 1|Level 1 fort
2-деңгейлі қамал|Крепость уровня 2|Level 2 fort
1-деңгейлі порт|Порт уровня 1|Level 1 port
Жағалау артиллериясы|Береговая артиллерия|Coastal artillery
Толық дамыған|Максимальный уровень|Fully upgraded
{0} жер керек|Нужно клеток: {0}|Requires {0} land cells
Дамыту|Улучшить|Upgrade
Портты дамыту|Улучшить порт|Upgrade port
Порт толық дамыған|Порт максимального уровня|Port fully upgraded
1-деңгейлі қайық, 4 орын|Корабль уровня 1, 4 места|Level 1 ship, 4 berths
2-деңгейлі қайық, 10 орын|Корабль уровня 2, 10 мест|Level 2 ship, 10 berths
{0}/{1} оқ|Снаряды: {0}/{1}|Ammo: {0}/{1}
Артиллерияны дамыту|Улучшить артиллерию|Upgrade artillery
Артиллерия толық дамыған|Артиллерия максимального уровня|Artillery fully upgraded
{0} деңгей|Уровень {0}|Level {0}
Автоматты оқтау, тұрақты шығын {0}|Автозарядка, постоянный расход {0}|Auto reload, upkeep {0}
Авто оқтау|Автозарядка|Auto reload
−{0}/ход|−{0}/ход|−{0}/turn
{0}, бағасы {1}|{0}, цена {1}|{0}, price {1}
Теңіз бекінісі|Морская крепость|Sea fort
Кемеде әскер жоқ|На корабле нет войск|No troops aboard
{0}-деңгейлі әскер{1}|Войска уровня {0}{1}|Level {0} troops{1}
Кіріс хаттар|Входящие письма|Inbox
Жүрісті аяқтау|Завершить ход|End turn
Әрекетті қайтару|Отменить действие|Undo action
Қарсыластар жүріп жатыр|Ходят соперники|Opponents are playing
AI {0} жүрісі|Ход ИИ {0}|AI {0} turn
{0} ход|{0} ходов|{0} turns
{0}-деңгейді бастау: {1}|Начать уровень {0}: {1}|Start level {0}: {1}
{0}-деңгей жабық: {1}|Уровень {0} закрыт: {1}|Level {0} locked: {1}
Ұзақ бассаңыз редакторға көшіріледі|Удерживайте, чтобы скопировать в редактор|Hold to copy to editor
Бұл — минималистік гексагон стратегиясы.|Это минималистичная пошаговая стратегия.|A minimalist turn-based strategy game.
Жерді жаулап, экономиканы дамытып, әскер, қамал, порт, кеме және артиллерияны тең ұстаңыз.|Захватывайте земли, развивайте экономику и сбалансированно содержите войска, крепости, порты, корабли и артиллерию.|Conquer land, develop your economy and balance troops, forts, ports, ships and artillery.
Ойын офлайн жұмыс істейді және жарнамасыз.|Игра работает офлайн и без рекламы.|The game works offline and has no ads.
Негізгі ереже|Основные правила|Basic rules
• Жер табыс береді, әскер мен құрылыстар шығын жейді.|• Земля приносит доход, войска и здания требуют содержания.|• Land provides income; troops and buildings cost upkeep.
• Әскер өз жерімен 4 ұяшыққа дейін қозғалады.|• Войска перемещаются до 4 клеток по своей земле.|• Troops move up to 4 cells across friendly land.
• Қамал көршілес жерді қорғайды.|• Крепость защищает соседние земли.|• Forts defend adjacent land.
• Порттан кеме шығады; кеме десантты уақытша қала ретінде асырайды.|• Корабли строятся в портах и снабжают десант как временный город.|• Ships launch from ports and supply landing troops as a temporary town.
• Артиллерия автоматты оқталып, теңіздегі жауға атады.|• Артиллерия перезаряжается автоматически и стреляет по врагам в море.|• Artillery reloads automatically and fires at enemies at sea.
• Slay ережесінде бүкіл құрлық басынан түстерге бөлінеді; 2–5 жалғасқан жер қала болады, жалғыз жердің экономикасы болмайды. Шабуыл күші қорғаныстан міндетті түрде жоғары, ферма мен күшті қамал салынбайды. Портқа 5, артиллерияға 7 жер керек; жоғары теңіз деңгейлері мемлекет үлкейгенде ашылады.|• В Slay суша сразу разделена между игроками. Группы из 2–5 клеток образуют город; одиночная клетка без экономики. Для атаки нужна сила выше защиты. Фермы и сильные крепости недоступны. Порту нужно 5 клеток, артиллерии — 7; морские улучшения открываются с ростом страны.|• Slay divides all land between players at the start. Groups of 2–5 cells form towns; single cells have no economy. Attacks must exceed defense. Farms and strong forts are unavailable. Ports need 5 cells, artillery needs 7; naval upgrades unlock as your country grows.
• Соғыс тұманында қала 4, әскер 2, қамал 3/5 ұяшық радиусын ашады.|• В тумане войны город видит на 4 клетки, войска — на 2, крепости — на 3/5.|• In fog of war, towns reveal 4 cells, troops 2, and forts 3/5.
• Дипломатия бейтараптық, 12 ходтық достық, соғыс, бітім ұсыныстары және 10 ходтық соғыс салқындауынан тұрады.|• Дипломатия включает нейтралитет, дружбу на 12 ходов, войну, предложения перемирия и 10 ходов запрета повторной войны.|• Diplomacy includes neutrality, 12-turn friendships, war, truce offers and a 10-turn war cooldown.
Карта ашылмады: {0}|Не удалось открыть карту: {0}|Could not open map: {0}
LAN бөлмесі ашылмады: {0}|Не удалось открыть LAN-комнату: {0}|Could not open LAN room: {0}
Барлық құрылғы бір Wi‑Fi немесе жергілікті желіде болуы керек. Хост ойын күйін, AI жүрістерін, сақтауды және бөлме орындарын басқарады.|Все устройства должны быть в одной Wi-Fi или локальной сети. Хост управляет состоянием игры, ходами ИИ, сохранениями и местами в комнате.|All devices must share a Wi-Fi or local network. The host manages game state, AI turns, saving and room seats.
Хост модының суреттері жарамсыз.|Изображения мода хоста недействительны.|The host mod images are invalid.
Алдымен «Жер» құралымен бұл ұяшықты құрлыққа айналдырыңыз|Сначала превратите клетку в сушу инструментом «Земля»|First turn this cell into land using the Land tool
Алдымен кемінде екі көршілес жерді бір түске бояңыз|Сначала закрасьте одним цветом хотя бы две соседние клетки|First paint at least two adjacent land cells the same color
Алдымен қаланы сол провинцияның басқа жеріне қойыңыз|Сначала перенесите город на другую клетку провинции|First move the town to another cell in this province
Порт пен артиллерия кеме жүретін жағалауға қойылады|Порты и артиллерия размещаются на судоходном побережье|Ports and artillery require navigable coast
Қала тұрған жерге әскер қойылмайды|Нельзя размещать войска на клетке города|Troops cannot be placed on a town
Теңіз нысаны су ұяшығына қойылады|Морские объекты размещаются на воде|Sea objects must be placed on water
Бұл су аймағында кеме жүре алмайды|В этой воде корабли не ходят|Ships cannot navigate this water
Алдымен осы түске кемінде бір провинция жасаңыз|Сначала создайте хотя бы одну провинцию этого цвета|First create at least one province of this color
